Date,Close/Last,Open,High,Low
02/15/2023,2320.92,2320.92,2322.03,2297.49
02/14/2023,2314.80,2314.80,2334.33,2306.27
02/13/2023,2315.95,2315.95,2317.04,2285.87
02/10/2023,2279.79,2278.63,2306.73,2264.38
02/09/2023,2312.95,2312.95,2319.54,2297.10
02/08/2023,2286.69,2286.69,2309.45,2286.69
02/07/2023,2279.41,2279.41,2285.76,2271.74
02/06/2023,2275.17,2275.17,2282.42,2265.23
02/03/2023,2288.40,2266.56,2290.02,2254.68
02/02/2023,2269.79,2269.79,2269.97,2238.08
02/01/2023,2233.27,2233.27,2249.64,2229.06
01/31/2023,2223.59,2223.59,2242.00,2211.72
01/30/2023,2243.53,2243.53,2244.86,2225.15
01/27/2023,2239.01,2231.32,2241.67,2226.68
01/26/2023,2233.09,2233.09,2255.28,2231.48
01/25/2023,2237.89,2237.89,2269.80,2230.42
01/24/2023,2266.34,2266.34,2283.27,2259.65
01/23/2023,2276.12,2276.12,2277.16,2262.92
01/20/2023,2257.50,2250.02,2259.51,2244.60
01/19/2023,2243.01,2243.01,2275.75,2243.01
01/18/2023,2284.49,2284.49,2290.52,2271.17
01/17/2023,2266.54,2266.54,2274.59,2259.25
01/13/2023,2270.10,2259.58,2271.34,2258.62
01/12/2023,2243.86,2243.86,2248.14,2224.07
01/11/2023,2231.02,2231.02,2244.88,2227.77
01/10/2023,2236.48,2236.48,2252.38,2227.75
01/09/2023,2267.40,2267.40,2268.73,2250.81
01/06/2023,2234.95,2234.26,2235.56,2220.36
01/05/2023,2224.63,2224.63,2233.10,2215.55
01/04/2023,2230.50,2230.50,2242.47,2222.26
01/03/2023,2226.07,2226.07,2236.14,2206.44
12/30/2022,2206.03,2185.04,2206.13,2184.19
12/29/2022,2197.43,2197.43,2197.53,2170.23
12/28/2022,2179.93,2179.93,2194.41,2177.80
12/27/2022,2188.76,2188.76,2197.95,2185.57
12/23/2022,2177.77,2178.23,2180.54,2177.30
12/22/2022,2175.46,2175.46,2205.03,2170.80
12/21/2022,2185.12,2185.12,2185.78,2160.92
12/20/2022,2164.82,2164.82,2170.42,2145.72
12/19/2022,2169.79,2169.79,2181.43,2167.38
12/16/2022,2169.93,2173.10,2203.77,2164.56
12/15/2022,2207.33,2207.33,2245.24,2203.48
12/14/2022,2262.42,2262.42,2267.81,2238.77
12/13/2022,2256.72,2256.72,2277.33,2220.18
12/12/2022,2222.82,2222.82,2231.71,2213.09
12/09/2022,2243.23,2234.38,2246.55,2211.96
12/08/2022,2204.91,2204.91,2209.36,2196.94
12/07/2022,2202.36,2202.36,2215.21,2196.87
12/06/2022,2217.05,2217.05,2242.86,2211.31
12/05/2022,2238.98,2238.98,2247.25,2230.26
12/02/2022,2234.40,2226.62,2240.52,2211.06
12/01/2022,2231.25,2231.25,2240.26,2217.24
11/30/2022,2192.76,2192.76,2208.20,2188.89
11/29/2022,2183.00,2183.00,2200.80,2181.72
11/28/2022,2174.92,2174.92,2191.64,2168.83
11/25/2022,2191.71,2191.99,2193.91,2182.13
11/23/2022,2187.68,2177.46,2189.47,2175.99
11/22/2022,2153.18,2153.18,2156.15,2130.46
11/21/2022,2136.74,2136.74,2148.37,2125.11
11/18/2022,2136.67,2134.08,2138.50,2113.61
11/17/2022,2116.89,2116.89,2146.36,2106.78
11/16/2022,2135.59,2135.59,2168.76,2129.45
11/15/2022,2160.92,2160.92,2176.61,2154.87
11/14/2022,2169.89,2169.89,2185.82,2167.57
11/11/2022,2167.73,2170.95,2193.82,2162.34
11/10/2022,2179.60,2179.60,2185.96,2102.95
11/09/2022,2117.89,2117.89,2128.67,2108.57
11/08/2022,2128.93,2128.93,2132.86,2091.80
11/07/2022,2101.55,2101.55,2104.19,2075.50
11/04/2022,2083.26,2089.31,2096.74,2069.27
11/03/2022,2057.29,2057.29,2059.60,2044.01
11/02/2022,2077.40,2077.40,2081.32,2055.94
11/01/2022,2048.22,2048.22,2079.87,2043.30
10/31/2022,2048.07,2048.07,2053.65,2039.51
10/28/2022,2047.13,2034.58,2048.48,2021.29
10/27/2022,2043.22,2041.33,2049.26,2029.34
10/26/2022,2047.63,2047.63,2048.74,2023.46
10/25/2022,2034.91,2034.91,2035.46,2000.83
10/24/2022,1992.61,1992.61,2002.07,1966.33
10/21/2022,1956.85,1935.08,1964.74,1933.07
10/20/2022,1976.31,1976.31,1992.31,1959.91
10/19/2022,2001.78,2001.78,2033.80,2000.77
10/18/2022,2026.47,2026.47,2038.96,2012.89
10/17/2022,1995.73,1995.73,2006.51,1949.63
10/14/2022,1964.99,1980.39,1987.22,1955.92
10/13/2022,1935.35,1935.35,1944.12,1893.86
10/12/2022,1938.93,1938.93,1949.86,1927.73
10/11/2022,1931.70,1931.70,1939.14,1916.56
10/10/2022,1934.36,1934.36,1960.35,1924.10
10/07/2022,1944.46,1956.64,1979.14,1944.21
10/06/2022,1984.15,1984.15,2007.93,1977.02
10/05/2022,1986.46,1986.46,2004.73,1980.28
10/04/2022,2003.88,2003.88,2004.06,1963.24
10/03/2022,1947.39,1947.39,1948.23,1884.35
