"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bahamas, The","BHS","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","1500000","-6900000","2300000","3200000","2300000","3000000","3200000","0","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","18800000","7210000","21863975","16720000","25393000","44203000","36958000","52797000","20638115","12403833.33","21696500","16687500","11700000","269884723.93","-656813029.52","447114000","-99839000","",
"Bosnia and Herzegovina","BIH","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","2836025.62936315","-2566375.55372431","388430.247340119","2701902.01491637","20715674.2126446","204150908.027423","121005146.359351","34933677.1753364","12622204.8639767","98103926.6253288","69960410.402103","61636693.7990985","94816416.2217045","89476552.7399931","149838740.933351","123009925.55627","3861346.05198925","45106909.9211088","137915691.728007","236697140.508041",
"Belarus","BLR","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14500000","19800000","-14600000","20600000","-44400000","19900000","9100000.00000001","-6100000","-62799999.9999999","41500000","26400000","38800000","-5300000","-18800000","-1185600000","-854100000","191000000","59100000","19600000","952100000","-646100000","-1264800000","585300000","-500800000","-1343500000","87190338.71","521498855.71","-438506304.49",
"Belize","BLZ","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","-700000","-700000","0","0","0","0","0","0","-200000","-7000000","-6106500","-3477000","-10075000","-10215000","-12500000","-38516616.08","-113137162.4","19407136.0360725","-124046567.962751","-79218382.8303763","-76639446.795809","-17845088.1888139","21606114.0648305","-78745499.7312496","-167567.961738875","9654114.94266183","7814892.52111916","13194329.2265162","3428416.7847912","15918403.9180893","430.603259687681","558.403667041888","654.882848423576","644.55837903252","607.584359638581","-5499409.18801914","-6499398.53254269","564900587.482165","593.112906394258","625.558661486843",
"Bermuda","BMU","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-588510000","-5751847.59351098","-2811842551.67468","1637636347.05301","935841624.541051","2395686848.42519","-1059920328.45732","1612734360.33648","-8555618.95581201","1482911058.09394","-401121559.840304","698117602.611315","-917249935.48","567851640.59","852713620","-972037266.02","","",
"Bolivia","BOL","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","0","0","0","-1400000","3500000","900000","15000000","1800000","900000","900000","0","0","0","0","0","0","0","0","0","0","-300000","53200000","74500000","61300000","-55400000","23010000","19340000","68170000","35380000","153428732","-25091349.2360249","29903231.41","208092905.002275","153640000","-90147609.5182469","-156001925.593783","360335232.437186","428704992.377106","734541228.091056","622097642.44068","910562109.036106","-1077043847.03658","-800168494.648041","-439668823.412312","-612777765.877373","20685739.8444866","-203737541.756815","-337280751.499818",
"Brazil","BRA","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","0","0","0","0","-660000000","-354000000","2000000","1000000","286000000","272000000","237000000","450000000","428000000","-176000000","421000000","-512000000","-3808000000","-14466000000","-12322000000","-51135000000","-9745000000","-20832000000","-12615571000","-18124973000","-3801558000","-6955057016.30859","-76993760","5118566222.8125","-5307524740","4750133360","-4884536333.75","-9081235678.125","-48695461469.2474","-2953202350.23747","-52139633051.6484","-66912966479.94","-41247719172.88","-15825807532.76","-32281848087.41","-41416091806.35","-17838699681.95","20033386641.7","17723824466.81","6734782390.41","19216443786.46","12882255995.88","-7881104679.51","2919022466.94","-7343841594.99",
"Barbados","BRB","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","1069559.22597245","409499.99979525","-1661499.99916925","3208499.99839575","-1599087.61714083","-2355199.82874266","-20297868.0756532","2050913.99017672","-16345.8051360253","-146000","-586000","-2014500","3773500","-5350000","100000","6000000","2600000","6100000","2000000","6500000","1200000","-42750000","4250000","25250000","3200000","17500000","34550000","-49100000","-42000000","15750000","27900000","46350000","-34200000","-69050000","-141950000","37074500","65532500","95232790.095","-542406404.17","-104809051.54","51600775.57","120876628.21","-82898591.975","-473698049.635","-378517045.87","342080901.705","-74376318.13065","-83267251.3382415","-150696621.414273","124558091.205947","67990664.32","","","","","","",
"Brunei Darussalam","BRN","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179057751.369098","-8097852.38567297","-60292103.680565","44768825.8642188","-21638847.2023095","90215499.1128467","-357937796.902529","-87790076.3817859","-139271027.364629","865508507.296528","165876296.074175","565176360.736538","458361041.317999","795748377.981144","336369777.539401","624753867.363287","-59798278.8350378","-1436447401.58331","1400265357.04998","1160723494.29487","-237144589.372827","455936783.207137","-270851884.446184",
"Bhutan","BTN","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","0","0","83291912.132905","0","0","15350702.9903028","38673327.8568439","-56101022.3689076",
