"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","3950699104.16667","4489418062.5","4475248354.16667","4884176020.83333","4961540916.66667","5447549687.5","6011490020.83333","6715423604.16667","6669514729.16667","7709545354.16667","8349716833.33333","8419996916.66667","6499539250","7812086852.58964","12421446497.6149","19265059553.8531","10418476781.1448","9054464725.27472","13066123055.5556","15329624763.4691","17766087086.5633","17244859241.1261","15787175648.7026","15487373737.3737","17638560000","19044846153.8462","18461933333.3333","20872387096.7742","22916762086.0012","24382929868.0953","26572217229.6524","26445994397.7591","27312625994.695","29087275132.2751","29343665835.4115","32959477611.9403","38813105134.4743","39975222482.4356","40669581497.7974","41668760399.3344","42685807990.4592","42852075611.5641","43320163677.5205","48015474956.8221","51313402412.0944","54847333443.2573","56405161496.0588","63094311451.442","74052396418.5801","81639485428.8897","91286673313.8797","102085940196.491","105017190533.667","116945045526.881","134696058444.172","151905105095.643","192897101342.234","214231554203.733","236358507189.846","256805196750.433","272714775918.794","310780844668.294","344066258003.595","324739267255.555",
"Bulgaria","BGR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","13695692307.6923","12596857142.8571","12534400000","11001222222.2222","11421166666.6667","11701631578.9474","13680411764.7059","19370923076.9231","14867294117.6471","15090388888.8889","16097272727.2727","8004354838.70968","8896391752.57732","10002971660.5059","8846439114.39114","13836223965.6995","10778918314.2297","8779501973.68538","11191207697.5252","11546662676.1713","11426235885.6013","12476845875.9706","14343802886.4093","18629938673.817","22944857149.5687","25960465856.4429","29235616478.7686","37863978306.508","45114850084.1736","41471670415.4143","40947046702.3656","45314053803.9997","44186029691.9136","44431880899.029","45481198206.7654","39694981847.0615","41081607900.8433","45013812164.2696","50613124207.4754","52205309369.8128","54691332126.3797","64790324121.6666","69041054161.7315","79220144199.5669",
"Bahrain","BHR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","1382860705.7575","1639095744.68085","1878190957.44681","1957712765.95745","2139361968.08511","1914361702.12766","1815425531.91489","2020744680.85106","2293882978.7234","2486170212.76596","2648670212.76596","3786968085.10638","3940691489.3617","4084840425.53191","4073138297.87234","4321276595.74468","4508244680.85106","4633776595.74468","4814627659.57447","5044148936.17021","5516835106.38298","5753324468.08511","6021728723.40425","6670319148.93617","8285531914.89362","8589601063.82979","8778377659.57447","9498803191.48936","11770345744.6809","12590292553.1915","13913776595.7447","15227154255.3191","16434680851.0638","18327101063.8298","18904707446.8085","19619707446.8085","20006622340.4255","20781941489.3617","21560957446.8085","21681436170.2128","20519398670.2128","21594105319.1489","","",
"Bahamas, The","BHS","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","506100000","611900000","894800000","990900000","1086200000","1141100000","1232300000","1599600000","1747699900","1870800000","2054100000","","2329790000","2396180000","2491670000","2435600000","2459830000","2613740000","2810110000","3030110000","4394100000","4787200000","5163200000","5374500000","5838100000","5886400000","5998700000","6203600000","6804800000","7297100000","7487300000","7625000000","7313200000","7491000000","7726900000","8217700000","7983900000","8424500000","8882400000","8925600000","9703000000","9875000000","9613600000","8361100000","9729000000","10422200000","11530300000",
"Bosnia and Herzegovina","BIH","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6985885880.36894","7220924022.94959","8143730493.65548","10248418403.0302","11783792155.3217","12842146927.429","14095993770.6533","16895298540.311","20506667560.4181","19001981048.2488","18359840527.107","19822481532.5775","18631400792.2691","19356623565.6471","19626847057.5626","16613607546.8446","16816431287.3592","17532148790.4766","19052867105.013","18781914570.8912","18745759098.8777","20717993887.2984","21128144284.5418","24838707983.5707",
"Belarus","BLR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6100000000","12266666666.6667","11947058823.5294","11125776754.8907","11887538461.5385","10934514637.9045","11828723173.6397","9485663858.80465","9729515283.35564","9782194244.60431","11751892881.8708","13994695968.8388","17201031357.3366","21984845530.2672","26125732084.9032","31844339446.8053","41604381202.0221","36786129858.0405","41016078509.0532","38387719287.6656","40474540896.4963","48855884820.4684","52475034477.3623","38275799495.0392","33484237493.3591","38367431852.1256","41597304290.1284","45606547141.8402","42469282559.4622","47160428176.1155","52129355317.7716","52311869253.6619",
"Belize","BLZ","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","127076317.507798","135460401.797979","134224977.096547","133567177.406522","131731689.890705","141428047.263465","139697336.323512","163972665.392706","186922108.570174","214357928.229519","226914253.380259","253733008.957867","463601138.926635","488285287.739688","525494352.16686","563519853.258215","599218094.689735","675805947.13214","729723986.155975","767326710.737525","832824515.794175","898882882.774795","979422492.021365","1034802646.1571","1070414270.44972","1095009359.97138","1110649662.59117","1193563731.76154","1253729161.6827","1236317186.62751","1289104707.45165","1342650305.87421","1404705085.10866","1540216174.93628","1598673136.45659","1642717143.40799","1687321525.55543","1710320763.27134","1767702419.48427","1824319812.93229","1545500008.10905","1841042198.63101","2146066605.5853","2393500000",
"Bermuda","BMU","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4088996000","4010713000","4009754000","4018507000","3965905000","4069755000","4205443000","4343386000","4372051000","4486177000","4164754000","4326946000","4624542000","",
"Bolivia","BOL","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","345833333.333333","388666666.666667","417333333.333333","447000000","471583333.333333","528083333.333333","589500000","667583333.333333","732500000","787833333.333333","839583333.333333","934583333.333333","1064538461.53846","1013300000","1616400000","2003050000","2269450000","2703150000","3114050000","3716200000","3610154622.73078","4832935130.30728","4744397919.53367","4465692180.60444","5089269068.24448","4534583118.73642","3596086665.07964","3950277609.04327","4155807870.90706","4200550358.36687","4313523758.36471","4804047469.03319","5210137399.73445","5318464658.24932","5452664128.27829","6002759678.37292","6542995681.24617","7023509599.26216","7586332217.38931","7591986144.12478","7634054268.57293","7410008919.44003","7098072398.88424","7074871549.34734","7384244266.63306","7858167442.79922","8832703622.75181","10139736806.0734","12589273479.3055","13908505413.1054","14959274838.0392","17848109965.1404","19756346816.2084","22696563328.5094","25619724066.5702","28352112489.1462","29314157018.8133","31760846975.398","34057574891.4617","35410348596.2373","32666477684.5152","34983595629.5224","37810122474.6744","39838375502.4123",
"Brazil","BRA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296337210940","302553078786.667","272205113636.364","257900460829.493","286333876740.601","407177329377.569","651120131485.604","722081995423.341","749355616275.445","727355293632.062","506474504901.78","546385225450.866","467311962043.418","416544018740.136","451734631280.514","526557840347.692","707906028697.127","880303842778.58","1101176790316.47","1332436485551.33","1360387422402.81","1750276115646.25","2065275051604.2","1970751673033.57","1993283671824.31","2016733873109.18","1509201647958.58","1519709347400.25","1746893593980.55","1620023126449.68","1594685827427.81","1229289613183.17","1335107642127.46","1590160517470.09","1772567835807.45",
