"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000845332.136","1076844170.7506","1122222631.24874","971558304.419588","1084633198.37413","1225498672.41509","1404248913.89681","1595022102.92989","1560606287.50286","1531064374.6154","2206053434.93929","2690716469.62903",
"American Samoa","ASM","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109000000","108000000","79000000","68000000","67000000","77000000","112000000","163000000","41000000","21000000","89000000","93000000","77000000","94000000","92000000","67000000","89000000","80000000","109000000","65000000","","",
"Antigua and Barbuda","ATG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","2603703.7037037","3300000","4074074.07407407","5240740.74074074","5596296.2962963","6444444.44444444","6792592.59259259","7462962.96296296","7862962.96296296","8362962.96296296","9003703.7037037","9451851.85185185","10540740.7407407","11951851.8518519","11333333.3333333","10696296.2962963","10203703.7037037","10466666.6666667","10374074.0740741","10844444.4444444","11792592.5925926","12829629.6296296","13737037.037037","14411111.1111111","14955555.5555556","15951851.8518519","17688888.8888889","18592592.5925926","20014814.8148148","23048148.1481481","24259259.2592593","23937037.037037","27922222.2222222","27192592.5925926","37303703.7037037","34455555.5555556","36233333.3333333","38185185.1851852","40274074.0740741","42837037.037037","45425925.9259259","49985185.1851852","51996296.2962963","41096296.2962963","44459259.2592593","48262962.962963","50833333.3333333",
"Australia","AUS","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42941471151.1158","40963927287.9106","40945229478.1658","40179876335.0197","42626080940.8509","48283338283.3383","51107700221.7753","53559941211.5492","49808044495.6929","46506454442.9126","48078782961.2566","41669484094.1461","41732134737.8687","50768782760.629","66835253947.93","71831880593.4245","73949646525.3766","79338148700.6359","97098000454.8083","78454803283.1786","91773389469.2339","103016673190.287","109059748680.604","104179512091.028","93474786255.3442","85098895028.084","73457818205.1118","76957711043.1849","82545034570.4276","78036974443.7348","74768510294.2783","86051696098.6485","91298533659.6543","92892622057.1013",
"Austria","AUT","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","9559766817.51937","11147605528.2658","13644273666.256","15787049922.7998","17399137417.5707","14742195438.0508","14352821650.3993","14467727899.4944","13389500722.0961","13889358206.9699","19815689950.4281","24102827601.219","26007803410.2307","25827837753.5101","32595386663.4394","33319365939.8939","36049725770.0977","33240693245.0018","35326635345.1391","43160024566.6712","41832583831.5571","37884203405.1189","38690429079.5909","38869687701.919","35936240321.6471","36225267768.6182","38005312368.3059","45775074807.1528","52262070710.143","55024769129.5875","59936662752.5646","70651377249.7414","75252497823.4062","65735746847.3632","64641056436.5001","71640791048.8328","68395172488.1367","70963139794.6473","73292112909.835","63751123948.039","67480034846.8134","70278076016.0707","76569334980.345","73766519012.0783","70367515545.2298","81119876348.2933","74919819311.0509","80815855372.3544",
"Azerbaijan","AZE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1566666666.66667","890000000","97278597.7859779","281145286.32158","151108280.660415","278800827.905912","331297885.62202","332591035.975285","370121478.418196","276809302.540068","279047104.98407","353155799.797491","463399179.562296","628419807.238435","719042308.099351","859299719.384274","1211266502.13499","1647197840.87148","2298751247.53536","2447551142.53474","2506728133.56591","2630412594.37295","2955278783.67456","3126414043.37058","3541544749.96398","2648834040.62606","1852703666.42811","1920512678.98591","2176507646.68824","2410470588.23529","2604941176.47059","3519294117.64706","4163705882.35294","4181058823.52941",
"Burundi","BDI","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","16331428.5714286","18544000","20174857.1428571","28385774.6232474","32778412.6984127","36111746.031746","36680579.7101449","43157777.7777778","50360000","72806666.6666667","63285555.5555556","70860000","83547777.7777778","90438945.6697149","77319355.1081781","84263816.389096","94531838.4864675","119821948.850761","105953915.73774","130127877.882609","133812151.47003","148352459.603444","93133560.2463719","79077429.9835255","86506532.4166973","82619976.1369005","54500412.8819158","94802299.9858096","92113334.828743","91378496.5221094","94893712.3787587","95788227.3739989","91509295.6510806","86649686.5012655","104804589.203477","132769074.996569","132013387.016794","150665096.463994","155099453.315922","169067242.869347","187887947.681665","208355985.036122","206047287.129296","234025955.254281","273939181.95585","269320537.284392","247569447.19625","","","","","","","",
"Belgium","BEL","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52813218390.8046","50725472312.7036","46496842580.0631","46946765947.9884","44694827428.726","41523865340.0785","40342826002.3229","43394458524.9413","51530124780.745","59406411226.5253","61216581533.3852","61314657349.4117","70922375577.2159","72388378038.6719","62426974247.0703","64214798756.6668","67661692084.6305","62635374936.9141","65550726755.3335","67270098564.588","58685798177.6953","58826808693.1519","62489218021.4119","66139475417.0196","66155122261.9607","64504383056.8095","72372234395.7353","73787855207.9769","75079400923.1386",
"Benin","BEN","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","38270395.0900995","45480728.1901678","56403366.1516898","70662568.1226922","82814892.6172899","64217952.1922227","67726440.8921198","99953536.327397","105161849.915","112005160.177472","85726584.6217663","115335605.923482","94996683.7243926","83303457.3730476","82488434.0621686","95944077.2340976","112052919.537956","131734886.083035","117714809.043259","144567177.375871","142237015.187742","134632926.428935","168914320.066282","128717736.926346","175248850.729622","195385906.777923","192092917.632142","196091051.340595","484312422.600121","492230594.729014","573333637.603361","656120864.911806","842328328.941401","916681815.773151","1029205292.85185","1085950726.86184","1122583382.64418","1198995400.54078","1189974510.65779","1119438570.40929","1254708362.16295","1193479627.90347","1367170240.44546","1379814512.52582","1142878265.57857","1173981451.39074","1221907960.42585","1306787720.84275","1419748245.96796","1519717922.44938","1676745644.71821","1711735175.57682","1979589665.00933",
"Burkina Faso","BFA","Manufacturing, value added (current US$)","NV.IND.MANF.CD","37226998.2669841","37217132.038867","42228730.9789682","43881615.4763484","44709846.5613513","47190308.1867794","55324136.1593325","67627957.1746999","71295785.8199279","76484012.5333775","76337503.7237729","84014353.4386049","106285691.845997","128379114.746004","139110097.357979","170447254.924925","173227358.55068","185855303.128907","226626801.98068","277612938.625089","284313268.266776","256165662.942228","252587361.446223","256156123.554396","220606097.813828","206878837.684201","278770876.225085","355237983.989449","394160498.908338","378999542.89277","457411349.131199","419369368.227703","485814079.295943","455208450.407566","254877169.122503","336006094.507849","345800717.240264","351404124.902411","387091310.132934","548655302.701011","455850777.074558","476679808.984598","537961876.284074","738979005.400862","825416542.306207","819970288.456098","919517906.49626","1093355113.77408","1229928413.39223","1280378753.24487","1227306679.2355","1402782966.41654","1299101515.41396","1367254645.24751","1533179979.7281","1379664852.30135","1427126200.95576","1447261226.18914","1672461830.69548","1669111824.66543","1778052265.18668","1958758357.05572","2057303211.8662","2172844902.73299",
